ParticipantID,SEX,ParticipantAge,PartnerNumber,AgeSex,ParticipantLifetimeSexPartners,PastYearSexPartners,PastMonthSex,MMS1,MMS2,MMS3,MMS4,MMS5,MMS6,MMS7,MMS8,MMS9,MMS10,MMS11,MMS12,MMS13,MMS14,ZSDQ1,ZSDQ2,ZSDQ3,ZSDQ4,MiniK1,MiniK2,MiniK3,MiniK4,MiniK5,MiniK6,MiniK7,MiniK8,MiniK9,MiniK10,MiniK11,MiniK12,MiniK13,MiniK14,MiniK15,MiniK16,MiniK17,MiniK18,MiniK19,MiniK20,NumberChildrenExpect,YearsLeftLive
142,1,52,10,14,68,1,6,7,2,3,7,6,7,4,7,6,7,6,3,7,7,-.507406671266396,-.401628457849034,.165195691853675,-1.04084942862055,2,5,6,5,3,3,5,6,7,5,7,5,2,2,2,3,5,5,2,2,2,15
151,1,33,15,16,15,1,1,1,4,1,7,4,7,1,1,1,7,7,1,7,7,1.20919301261993,.500040728977605,-.612600690624048,1.24722474636429,4,7,7,7,7,7,7,4,6,7,7,3,7,7,7,4,4,4,1,5,2,50
160,1,65,3,17,1,1,1,1,7,6,1,1,1,1,1,1,1,7,1,7,1,-2.22400635515272,-1.30329764467567, ,-.27815803695894,6,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,4,6,2,29
163,1,31,1,17,1,1,0,3,3,3,5,1,3,1,1,1,5,5,1,4,5,-1.36570651320956,-1.30329764467567,-.612600690624048,-2.56623221194378,6,7,3,5,7,7,7,7,7,6,7,7,7,7,7,3,3,3,1,1,2,55
165,1,56,10,17,10,1,2,1,2,1,7,3,7,1,1,1,6,6,1,7,6,.350893170676764,-1.30329764467567,-1.39039707310177,-1.04084942862055,5,6,5,6,4,5,3,1,3,6,7,7,1,1,1,3,1,1,2,5,2,20
166,1,62,35,18,25,0,0,6,2,2,4,4,5,4,2,6,4,6,4,6,6,-1.36570651320956,-1.30329764467567,-.612600690624048,-1.04084942862055,6,6,6,6,6,7,2,6,7,3,7,6,6,6,6,7,7,7,3,2,2,22
176,1,27,7,17,10,1,2,4,2,2,2,3,3,3,3,2,2,5,2,5,3,-1.36570651320956, ,-1.39039707310177,-2.56623221194378,4,6,5,6,5,4,7,6,6,3,6,5,6,5,5,3,3,3,2,2,2,73
177,1,66,3,16,1,1,4,1,7,7,4,1,5,1,2,1,6,6,1,6,6,-.507406671266396,-.401628457849034,-.612600690624048,-.27815803695894,6,6,7,7,7,6,7,6,7,7,7,7,4,6,7,7,6,6,6,1,2,30
188,1,70,1,19,2,1,2,1,7,3,1,2,3,1,1,1,1,7,1,7,6,-1.36570651320956,-1.30329764467567,-1.39039707310177,-1.80354082028217,5,6,5,5,4,6,7,6,6,7,1,7,7,6,7,7,6,7,6,7,2,5
189,1,29,5,16,3,1,2,2,6,2,1,1,5,1,1,1,1,5,1,5,2,-2.22400635515272,-1.30329764467567,-.612600690624048,-.27815803695894,5,5,5,6,6,5,6,3,6,6,7,5,7,7,7,3,3,5,2,1,2,50
192,1,41,4,21,2,1,0,3,4,3,4,4,5,3,2,2,4,5,2,6,4,-2.22400635515272,-1.30329764467567,-.612600690624048,-1.80354082028217,5,5,5,5,6,5,7,7,7,7,7,7,6,6,6,5,5,5,5,5,2,20
201,1,35,20,17,40,1,1,2,1,4,4,5,4,5,3,2,4,6,2,5,2,-.507406671266396,-.401628457849034,-.612600690624048,-1.04084942862055,6,6,4,6,6,4,7,5,7,6,7,3,5,5,5,5,5,5,3,1,2,40
202,1,50,4,21,9,1,12,1,1,1,4,1,5,1,1,1,5,5,1,5,5,-.507406671266396,.500040728977605,.165195691853675,-.27815803695894,6,7,7,6,7,6,7,6,7,7,7,7,7,7,7,7,7,7,3,5,2,30
203,1,48,5,18,5,1,5,1,2,1,1,1,7,1,1,1,1,7,1,7,3,.350893170676764,-.401628457849034,-1.39039707310177,-.27815803695894,2,6,7,6,6,6,6,5,7,7,7,7,5,6,7,7,7,7,7,7,2,50
208,1,60,50,15,80,1,10,1,2,2,4,1,6,1,2,4,4,5,1,6,6,.350893170676764,.500040728977605,-.612600690624048,.484533354702674,6,6,6,6,7,6,2,6,6,7,6,2,5,5,6,5,5,5,4,2,2,20
209,1,31,3,17,10,1,5,1,7,3,6,4,6,5,1,1,7,6,1,6,7,.350893170676764,.500040728977605,-1.39039707310177,-.27815803695894,7,6,6,6,4,5,1,1,6,7,7,7,1,1,5,2,2,2,2,2,2,40
211,1,32,1,23,1,1,1,1,3,4,5,1,4,1,1,1,5,5,1,5,5,-1.36570651320956,-1.30329764467567,-.612600690624048,-.27815803695894,5,6,6,6,6,6,6,6,6,6,7,7,7,7,7,6,6,6,5,5,2,40
212,1,48,8,16,20,1,0,1,7,3,3,1,5,1,3,1,2,6,1,6,2,-.507406671266396,-1.30329764467567,-.612600690624048,-.27815803695894,4,5,4,4,5,6,6,6,7,6,1,5,7,7,6,5,5,5,3,1,2,25
220,1,52,6,17, ,1,0,7,4,1,4,1,6,1,1,1,4,7,1,4,4,-2.22400635515272,-2.20496683150231,-1.39039707310177,-1.80354082028217,7,7,7,7,7,7,5,7,7,7,7,7,7,4,7,7,7,7,7,7,2,30
231,1,57,8,15,7,1,10,4,2,2,2,2,7,2,3,3,2,6,1,6,6,.350893170676764,.500040728977605,.165195691853675,.484533354702674,5,7,7,7,6,5,7,6,7,7,7,7,7,7,7,6,6,6,5,6,2,25
239,1,60,3,19,3,1,12,2,2,1,5,1,7,1,1,1,6,6,1,6,6,.350893170676764,-.401628457849034,.165195691853675,.484533354702674,7,6,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,30
243,1,45,50,14,30,1,10,1,4,4,4,4,6,1,4,4,4,7,4,7,4,1.20919301261993,.500040728977605,-.612600690624048,1.24722474636429,6,5,5,5,6,5,3,1,7,7,7,2,7,5,5,5,4,4,5,6,2,50
244,1,30,1,21,1,1,8,1,6,7,2,1,1,1,1,1,1,3,1,1,1,-2.22400635515272,-.401628457849034,-1.39039707310177,-1.80354082028217,5,4,2,5,6,4,6,6,5,4,7,4,5,4,4,4,4,4,2,4,2,50
247,1,45,5,17,2,1,6,1,4,1,4,1,7,1,1,1,5,7,1,7,1,.350893170676764,.500040728977605,-1.39039707310177,.484533354702674,5,6,7,7,6,7,6,5,7,7,7,7,6,6,6,7,7,7,4,4,2,45
248,1,33,10,18,12,1,4,7,3,1,7,1,7,1,3,1,7,7,1,7,5,1.20919301261993,.500040728977605,-.612600690624048,.484533354702674,5,7,7,7,7,5,5,5,6,7,7,3,6,5,5,5,5,5,3,3,2,50
251,1,50,6,19,5,1,10,2,2,1,2,2,6,2,3,4,2,6,2,5,5,.350893170676764,.500040728977605,-1.39039707310177,.484533354702674,2,6,4,6,6,6,6,6,7,7,7,5,6,6,6,6,7,7,4,1,2,40
