Participant_ID,Participant_Sex,Participant_Age,Participant_Ethnicity_1,MEQ1,MEQ2,MEQ3,MEQ4,MEQ5,MEQ6,MEQ7,MEQ8,MEQ9,MEQ10,MEQ11,MEQ12
207,2,41,1,2,1,5,7,2,5,7,2,5,2,3,1
208,2,60,1,1,4,1,6,1,2,4,4,5,1,6,6
209,2,31,1,1,6,4,6,5,1,1,7,6,1,6,7
210,2,38,1,1,3,1,7,1,1,1,1,6,1,6,2
211,2,32,3,1,5,1,4,1,1,1,5,5,1,5,5
212,2,48,1,1,3,1,5,1,3,1,2,6,1,6,2
213,2,45,1,1,1,1,5,1,1,1,2,4,1,4,1
214,2,39,1,1,7,5,6,1,3,1,7,6,1,6,7
216,2,32,1,2,6,2,6,2,6,2,6,6,2,6,2
218,2,19,6, , , , , , , , , , , , 
219,2,56,1,2,5,1,5,1,2,6,5,6,5,6,5
220,2,52,1,7,4,1,6,1,1,1,4,7,1,4,4
221,2,39,1,3,3,2,6,3,2,3,5,2,3,6,2
222,2,26,1,2,6,2,6,2,2,2,6,7,2,7,6
223,2,26,1,6,6,6,5,4,4,6,6,5,4,4,5
225,2,45,1,1,1,1,1,1,1,1,1,1,1,1,1
226,2,32,1,1,6,1,4,1,6,1,6,7,1,6,6
227,2,47,1,3,1,4,6,5,5,4,1,7,4,7,5
228,2,33,1,2,1,5,7,4,1,3,2,3,6,4,5
229,2,30,1,1,7,1,4,1,3,2,6,5,1,3,3
230,2,34,1,2,5,2,3,2,1,1,1,6,1,6,1
231,2,57,1,4,2,2,7,2,3,3,2,6,1,6,6
232,2,27,1,1,1,1,4,1,1,1,1,4,1,4,1
233,2,34,1,1,7,1,7,1,4,1,7,7,1,7,5
234,2,25,1,2,6,1,6,1,3,5,6,6,5,6,5
235,2,29,1,2,6,5,5,2,5,5,6,6,5,6,5
237,2,28,1,1,5,3,4,2,2,2,6,7,2,6,5
238,2,25,1,7,6,7,6,5,7,6,5,6,7,6,5
239,2,60,1,2,5,1,7,1,1,1,6,6,1,6,6
240,2,39,1,1,1,1,1,1,1,1,1,7,1,1,1
242,2,29,1,2,4,1,4,1,1,1,4,4,1,4,5
243,2,45,1,1,4,4,6,1,4,4,4,7,4,7,4
244,2,30,1,1,2,1,1,1,1,1,1,3,1,1,1
245,2,31,1,2,2,4,2,6,3,6,4,3,2,5,6
246,2,37,1,1,4,1,5,1,3,1,5,4,1,6,3
247,2,45,1,1,4,1,7,1,1,1,5,7,1,7,1
248,2,33,1,7,7,1,7,1,3,1,7,7,1,7,5
250,2,47,1,1,4,4,4,4,1,1,1,1,1,1,4
251,2,50,1,2,2,2,6,2,3,4,2,6,2,5,5
252,2,47,1,2,2,1,3,1,4,3,5,5,1,5,1
253,2,36,2,2,2,4,6,4,5,2,2,3,2,5,5
254,2,57,1,5,1,6,4,5,1,6,1,5,5,7,5
255,2,29,1,1,3,1,7,1,5,1,4,7,1,7,1
256,2,25,1,6,4,5,6,6,4,7,3,5,6,5,6
258,2,32,1,1,1,1,3,1,1,2,1,7,1,6,1
259,2,36,6,1,1,1,6,1,1,1,4,7,2,6,1
260,2,41,1,1,2,3,3,1,1,1,3,4,1,4,2
261,2,33,1,3,6,1,6,1,3,2,6,7,1,7,6
262,2,26,1,5,2,2,6,2,1,1,2,7,2,7,6
264,2,34,3,6,3,6,6,6,6,6,4,6,6,6,6
265,2,33,1,3,5,3,4,3,3,3,4,5,3,4,3
266,2,56,1,2,2,2,6,2,1,5,2,5,5,5,4
267,2,34,3,1,6,3,7,3,5,2,7,7,3,7,5
268,2,55,1,2,3,1,5,1,1,1,3,6,1,6,5
269,2,24,6,1,5,5,6,4,4,5,3,4,5,4,5
270,2,30,3,4,6,6,6,5,5,4,6,6,6,6,6
271,2,32,1,1,2,1,6,1,5,1,2,7,1,7,2
273,2,42,2,7,3,5,6,5,1,1,2,6,1,6,6
274,2,43,1,1,1,1,7,7,1,1,1,7,1,7,1
276,2,35,1,1,1,1,1,1,5,1,1,1,1,1,1
277,2,24,1,3,3,4,3,2,4,3,2,4,3,3,4
278,2,45,1,5,4,3,6,3,1,4,3,5,3,5,4
280,2,30,1,2,4,5,5,5,2,5,4,4,6,5,5
281,2,32,1,5,3,3,5,3,4,4,4,3,2,5,4
282,2,34,8,1,7,1,5,1,2,1,7,6,1,5,7
283,2,35,6,6,1,1,7,1,1,5,1,7,1,7,2
284,2,40,1,2,4,1,4,1,3,1,3,6,1,5,4
285,2,25,8,3,7,1,7,1,1,1,7,7,2,4,1
286,2,38,3,2,5,2,5,2,3,2,5,5,2,5,4
287,2,35,3,4,5,1,5,1,3,1,5,7,1,6,5
289,2,44,3,6,5,4,5,6,7,6,5,6,1,1,1
290,2,39,6,5,2,4,4,4,1,4,4,5,6,5,1
291,2,47,1,1,1,1,7,1,5,1,1,7,1,4,1
292,2,38,1,1,4,4,4,4,4,3,3,3,3,3,4
293,2,36,1,2,5,2,5,4,3,5,5,3,5,3,5
295,2,44,1,5,2,2,5,2,2,5,2,5,2,5,2
296,2,34,8,1,4,1,7,1,6,1,4,6,1,7,4
297,2,38,1,1,6,3,3,1,1,1,6,5,1,5,2
298,2,44,1,5,2,2,4,2,3,2,2,6,2,6,2
299,2,44,1,1,6,1,5,1,1,1,6,4,1,4,4
300,2,28,6,2,2,2,6,2,2,3,3,3,2,3,3
301,2,56,6,1,1,1,1,1,1,1,1,6,1,4,4
302,2,66,1,2,6,2,6,2,6,6,6,4,6,4,6
