Participant_ID,Participant_Sex,Participant_Age,Participant_LTR,Partner_Number,Had_Sex,Age_Sex,Participant_Lifetime_Sex_Partners,Past_Year_Sex_Partners,Past_Month_Sex,MMS1,MMS2,MMS3,MMS4,MMS5,MMS6,MMS7,MMS8,MMS9,MMS10,MMS11,MMS12,MMS13,MMS14
237,1,28,1,3,1,15,3,1,6,1,2,5,5,3,4,2,2,2,6,7,2,6,5
288,1,28,1,3,1,18,10,15,10,1,1,5,3,1,7,1,2,1,2,3,1,3,1
300,1,28,1,2,1,21,2,1,12,2,2,2,2,2,6,2,2,3,3,3,2,3,3
327,0,28,1,3,1,18,2,2,2,5,5,3,4,5,3,4,5,6,3,3,3,4,4
367,0,28,1,2,1,21,3,1,35,3,5,5,6,5,5,5,6,6,5,4,4,3,4
372,0,28,1,2,2, ,0,0,0,5,3,5,3,5,3,4,2,3,4,3,4,3,4
376,0,28,1,3,1,22,2,1,1,5,2,4,5,5,5,3,4,5,5,3,5,3,6
377,0,28,1,2,1,19,2,1,0,1,1,4,5,1,4,1,1,1,5,7,1,4,5
33,0,27,1,1,1,22,1,1,3,5,6,3,5,5,4,5,5,5,3,6,5,5,4
79,0,27,1,4,1,18,10,2,15,6,4,7,7,1,7,1,6,7,7,7,4,7,7
88,0,27,1,2,1,16,1,2,1,4,6,3,5,5,3,3,6,3,6,3,5,3,6
104,0,27,1,3,1,19,2,1,3,1,5,6,4,5,6,1,2,4,4,6,1,6,2
138,1,27,1,10,1,17,10,1,10,2,5,7,5,1,7,1,1,1,7,7,1,7,5
141,1,27,1,100,1,21,1,1,10,2,2,3,3,4,4,4,4,3,4,3,4,3,4
143,1,27,1,2,1,22,2,1,9,4,5,5,5,5,5,5,4,4,4,4,4,4,4
172,1,27,1,1,1,20,1,1,4,2,1,5,6,2,6,2,3,2,6,6,2,7,6
176,1,27,1,7,1,17,10,1,2,4,6,6,2,3,3,3,3,2,2,5,2,5,3
232,1,27,1,2,1,17,2,1,5,1,4,5,1,1,4,1,1,1,1,4,1,4,1
236,1,27,1, ,1,27,1,1,3,5,2,6,5,3,4,5,5,2,6,5,6,6,7
241,1,27,1,1,1,24,1,1,1,6,7,5,6,4,6,5,5,5,5,4,5,5,4
345,0,27,1,2,1,22,2,1,1,5,3,5,6,3,3,5,6,4,3,5,4,6,5
357,0,27,1,7,1,18,7,1,11,2,2,2,5,5,6,2,5,2,6,6,2,5,6
379,0,27,1,3,1,16,7,6,8,1,1,7,1,4,7,4,2,4,4,4,4,2,2
385,0,27,1,2,1,20,2,1,1,1,5,6,5,1,7,1,1,1,6,7,1,6,6
