ParticipantID,ParticipantSex,ParticipantAge,ParticipantLTR,PartnerNumber,AgeSex,ParticipantLifetimeSexPartners,PastYearSexPartners,PastMonthSex,MEQ1,MEQ2,MEQ3,MEQ4,MEQ5,MEQ6,MEQ7,MEQ8,MEQ9,MEQ10,MEQ11,MEQ12
235,1,29,0,6,17,10,1,5,2,6,5,5,2,5,5,6,6,5,6,5
236,1,27,0, ,27,1,1,3,5,5,3,4,5,5,2,6,5,6,6,7
237,1,28,0,3,15,3,1,6,1,5,3,4,2,2,2,6,7,2,6,5
238,1,25,0,1,21,1,1,1,7,6,7,6,5,7,6,5,6,7,6,5
239,1,60,0,3,19,3,1,12,2,5,1,7,1,1,1,6,6,1,6,6
240,1,39,0,1,21,1,1,0,1,1,1,1,1,1,1,1,7,1,1,1
241,1,27,0,1,24,1,1,1,6,6,4,6,5,5,5,5,4,5,5,4
242,1,29,0,1,17,2,2,5,2,4,1,4,1,1,1,4,4,1,4,5
243,1,45,0,50,14,30,1,10,1,4,4,6,1,4,4,4,7,4,7,4
244,1,30, ,1,21,1,1,8,1,2,1,1,1,1,1,1,3,1,1,1
245,1,31,0,1,16,1,1,1,2,2,4,2,6,3,6,4,3,2,5,6
246,1,37,0,3,15,5,1,2,1,4,1,5,1,3,1,5,4,1,6,3
247,1,45,0,5,17,2,1,6,1,4,1,7,1,1,1,5,7,1,7,1
248,1,33,0,10,18,12,1,4,7,7,1,7,1,3,1,7,7,1,7,5
249,1,66,0,2,21,2,2,2,1,7,1,4,1,1,1,7,4,4,7,1
250,1,47,0,10,16,20,2,25,1,4,4,4,4,1,1,1,1,1,1,4
251,1,50,0,6,19,5,1,10,2,2,2,6,2,3,4,2,6,2,5,5
252,1,47,0,4,13,80,1,3,2,2,1,3,1,4,3,5,5,1,5,1
254,1,57,0,7,17,6,1,0,5,1,6,4,5,1,6,1,5,5,7,5
255,1,29,0,3,17,2,1,3,1,3,1,7,1,5,1,4,7,1,7,1
256,1,25,0,2,16,15,1,1,6,4,5,6,6,4,7,3,5,6,5,6
258,1,32,0,5,19,5,1,6,1,1,1,3,1,1,2,1,7,1,6,1
259,1,36,0,3,14,2,1,20,1,1,1,6,1,1,1,4,7,2,6,1
260,1,41,0,7,26,2,1,0,1,2,3,3,1,1,1,3,4,1,4,2
261,1,33,0,3,18,6,1,15,3,6,1,6,1,3,2,6,7,1,7,6
262,1,26,0,6,17,6,1,2,5,2,2,6,2,1,1,2,7,2,7,6
263,1,56,0,4,27,3,1,2,5,4,4,6,3,6,1,6,5,3,5,6
264,1,34,0,5,15,3,1,1,6,3,6,6,6,6,6,4,6,6,6,6
265,1,33,0,1,25,1,1,5,3,5,3,4,3,3,3,4,5,3,4,3
266,1,56,0,4,17,3,1,8,2,2,2,6,2,1,5,2,5,5,5,4
267,1,34,0,4,23,1,1,4,1,6,3,7,3,5,2,7,7,3,7,5
268,1,55,0,11,17,11,1,3,2,3,1,5,1,1,1,3,6,1,6,5
