Participant_ID,Participant_Sex,Participant_Age,Participant_LTR,Partner_Number,Had_Sex,Age_Sex,Participant_Lifetime_Sex_Partners,Past_Year_Sex_Partners,Past_Month_Sex,MMS1,MMS2,MMS3,MMS4,MMS5,MMS6,MMS7,MMS8,MMS9,MMS10,MMS11,MMS12,MMS13,MMS14
285,2,25,1,3,1,20,3,1,20,3,7,7,7,1,7,1,1,1,7,7,2,4,1
286,2,38,1,2,1,26,1,1,5,2,4,5,5,2,5,2,3,2,5,5,2,5,4
287,2,35,1,2,1,24,2,1,0,4,3,6,5,1,5,1,3,1,5,7,1,6,5
288,2,28,1,3,1,18,10,15,10,1,1,5,3,1,7,1,2,1,2,3,1,3,1
289,2,44,1,2,1,29,1,1,1,6,5,6,5,4,5,6,7,6,5,6,1,1,1
290,2,39,1,2,1,20,4,0,0,5,6,7,2,4,4,4,1,4,4,5,6,5,1
291,2,47,1,7,1,17,7,1,4,1,6,7,1,1,7,1,5,1,1,7,1,4,1
292,2,38,1,11,1,15,11,1,20,1,7,4,4,4,4,4,4,3,3,3,3,3,4
293,2,36,2,7,1,12,7,0,0,2,7,5,5,2,5,4,3,5,5,3,5,3,5
295,2,44,1,6,1,16,6,1,15,5,6,3,2,2,5,2,2,5,2,5,2,5,2
296,2,34,1,2,1,18,4,1,5,1,4,7,4,1,7,1,6,1,4,6,1,7,4
297,2,38,1,5,1,18,5,1,12,1,1,5,6,3,3,1,1,1,6,5,1,5,2
298,2,44,1,15,1,16,12,1,12,5,5,6,2,2,4,2,3,2,2,6,2,6,2
299,2,44,2,6,1,17,10,0,0,1,7,7,6,1,5,1,1,1,6,4,1,4,4
300,2,28,1,2,1,21,2,1,12,2,2,2,2,2,6,2,2,3,3,3,2,3,3
301,2,56,2,4,1,21,6,0,0,1,1,1,1,1,1,1,1,1,1,6,1,4,4
302,2,66,2,20,1,15,100,0,0,2,6,6,6,2,6,2,6,6,6,4,6,4,6
303,2,62,2,4,1,17,12,0,0,2,5,5,1,1,4,1,4,1,1,5,2,5,5
304,2,33,1,8,1,17,11,1,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4
305,2,31,1,2,1,27,1,1,1,2,2,1,2,2,4,1,1,2,2,6,1,6,5
306,1,38,1,10,1,27,1,1,4,6,6,5,6,6,5,5,6,4,5,4,5,5,6
307,1,30,2,1,1,28,1,0,0,1,7,5,2,1,5,1,1,1,2,6,1,5,6
309,1,35,1,4,1,18,2,1,15,3,5,5,4,4,6,3,2,4,4,5,1,4,3
311,1,29,1,1,1,20,1,1,6,5,5,4,4,4,5,4,6,5,4,4,3,4,4
312,1,34,2,2,1,18,2,0,0,1,6,6,7,1,6,1,2,1,7,7,1,7,5
313,1,33,1,5,1,20,16,1,2,1,2,3,4,4,5,4,4,2,4,5,5,5,6
315,1,29,1,10,1,26,1,1,4,1,4,6,3,5,3,5,3,7,5,3,5,4,6
316,1,39,1,5,1,23,2,1,10,5,7,6,7,2,5,2,1,2,7,5,2,5,6
317,1,29,1,5,1,14,12,5,4,5,5,6,5,4,5,3,4,5,5,6,3,5,5
