Participant_ID,SEX,MMS1,MMS2,MMS3,MMS4,MMS5,MMS6,MMS7,MMS8,MMS9,MMS10,MMS11,MMS12,MMS13,MMS14
38,0,3,5,5,2,4,5,4,1,3,2,5,3,5,6
40,0,5,6,5,4,4,5,5,3,2,1,1,2,1,2
44,0,7,5,5,5,3,6,3,5,4,6,4,6,4,6
49,0,7,6,7,6,1,1,1,5,3,6,6,7,6,7
50,0,5,6,3,5,5,3,5,5,5,5,4,4,5,5
51,0,4,4,3,3,2,3,2,3,3,3,2,3,3,2
67,0,6,2,4,6,7,5,6,7,6,6,7,3,6,7
72,0,6,5,6,7,5,6,7,5,6,7,5,6,5,6
92,0,4,7,7,7,1,7,1,1,1,7,7,1,7,4
102,0,6,5,4,5,4,5,4,5,4,5,4,5,4,5
106,0,6,5,5,6,6,7,5,3,3,4,5,5,5,4
123,1,6,5,3,4,5,3,4,5,3,5,6,4,2,4
132,1,7,7,5,4,5,5,4,4,4,4,5,4,5,5
161,1,6,5,7,6,5,6,6,6,5,7,6,5,6,7
181,1,6,5,4,5,5,6,4,5,6,4,7,5,5,6
200,1,6,5,6,5,7,6,5,6,5,7,6,7,7,5
215,1,2,4,5,5,4,4,4,4,4,4,4,4,4,4
217,1,7,6,7,6,6,7,6,7,6,5,6,5,6,6
224,1,5,4,4,4,4,5,4,4,3,4,5,5,5,4
236,1,5,2,6,5,3,4,5,5,2,6,5,6,6,7
241,1,6,7,5,6,4,6,5,5,5,5,4,5,5,4
257,1,4,3,2,5,4,3,3,5,4,5,4,3,2,4
263,1,5,2,6,4,4,6,3,6,1,6,5,3,5,6
272,1,3,5,6,6,5,5,5,2,4,3,3,5,5,6
275,1,6,7,5,3,5,6,4,3,6,7,6,5,3,5
279,1,1,5,6,1,1,1,2,1,1,1,4,1,4,1
288,1,1,1,5,3,1,7,1,2,1,2,3,1,3,1
310,0,7,2,4,2,5,7,2,4,5,7,2,4,3,6
311,0,5,5,4,4,4,5,4,6,5,4,4,3,4,4
313,0,1,2,3,4,4,5,4,4,2,4,5,5,5,6
319,0,2,7,1,1,2,6,2,7,7,4,1,6,2,1
325,0,6,5,4,6,7,5,4,7,5,4,6,7,4,6
327,0,5,5,3,4,5,3,4,5,6,3,3,3,4,4
344,0,5,4,3,3,5,5,3,3,4,5,4,3,3,5
356,0,5,4,5,6,5,4,6,5,4,5,6,5,6,4
367,0,3,5,5,6,5,5,5,6,6,5,4,4,3,4
376,0,5,2,4,5,5,5,3,4,5,5,3,5,3,6
379,0,1,1,7,1,4,7,4,2,4,4,4,4,2,2
384,0,6,4,4,5,4,7,6,4,6,5,3,5,5,3
28,0,6,6,7,7,5,6,5,6,5,7,6,4,6,7
