ParticipantID,ParticipantSex,ParticipantAge,ParticipantLTR,PartnerNumber,AgeSex,ParticipantLifetimeSexPartners,PastYearSexPartners,PastMonthSex,MEQ1,MEQ2,MEQ3,MEQ4,MEQ5,MEQ6,MEQ7,MEQ8,MEQ9,MEQ10,MEQ11,MEQ12
181,1,27,1,5,21,1,1,6,6,5,5,6,4,5,6,4,7,5,5,6
232,1,27,0,2,17,2,1,5,1,1,1,4,1,1,1,1,4,1,4,1
236,1,27,0, ,27,1,1,3,5,5,3,4,5,5,2,6,5,6,6,7
241,1,27,0,1,24,1,1,1,6,6,4,6,5,5,5,5,4,5,5,4
345,0,27,0,2,22,2,1,1,5,6,3,3,5,6,4,3,5,4,6,5
357,0,27,0,7,18,7,1,11,2,5,5,6,2,5,2,6,6,2,5,6
379,0,27,0,3,16,7,6,8,1,1,4,7,4,2,4,4,4,4,2,2
385,0,27,0,2,20,2,1,1,1,5,1,7,1,1,1,6,7,1,6,6
91,0,26,0,3,18,5,1,4,5,7,7,6,6,5,4,7,6,6,7,7
121,0,26,1,12,15,13,1,0,6,7,7,7,4,7,6,7,7,5,7,6
122,1,26,0,2,25,1,1,3,5,3,4,6,5,6,7,3,7,4,6,7
169,1,26,0,6,15,2,1,4,7,7,7,7,7,7,7,7,7,7,7,7
222,1,26,0,4,16,4,1,1,2,6,2,6,2,2,2,6,7,2,7,6
223,1,26,0,3,21,4,1,10,6,6,6,5,4,4,6,6,5,4,4,5
262,1,26,0,6,17,6,1,2,5,2,2,6,2,1,1,2,7,2,7,6
350,0,26,0,1,25,1,1,1,4,4,5,6,5,5,4,5,5,5,5,5
354,0,26,1,10,13,30,10,5,1,1,1,7,1,1,5,1,7,6,7,1
25,0,25,0,2,25,2,2,3,6,6,6,7,6,7,6,5,6,5,6,6
77,0,25,0,4,19,2,1,2,6,6,5,6,5,4,6,3,4,5,5,2
98,0,25,0,3, ,0,0,0,1,5,1,4,1,1,1,2,5,1,6,5
109,0,25,0,4,19,2,1,5,1,2,1,5,1,1,1,2,7,1,7,3
111,0,25,0,2,19,2,2,3,6,5,4,5,5,6,4,5,5,5,6,5
128,1,25,0,5,14,5,1,0,4,6,5,5,4,6,3,5,7,1,7,7
195,1,25,1,1,24,4,1,0,1,7,1,7,1,6,1,7,7,1,7,5
234,1,25,1,1,20,1,0,0,2,6,1,6,1,3,5,6,6,5,6,5
238,1,25,0,1,21,1,1,1,7,6,7,6,5,7,6,5,6,7,6,5
256,1,25,0,2,16,15,1,1,6,4,5,6,6,4,7,3,5,6,5,6
285,1,25,0,3,20,3,1,20,3,7,1,7,1,1,1,7,7,2,4,1
318,0,25,0,6,16,6,1,8,3,5,4,4,3,2,3,5,5,4,6,2
325,0,25,0,3,20,2,3,2,6,6,7,5,4,7,5,4,6,7,4,6
330,0,25,0,5,18,5,2,2,4,5,6,5,5,4,5,5,4,5,4,5
341,0,25,0,1,21,1,1,1,6,6,5,5,4,5,6,4,6,4,5,4
397,0,25,0,2,19,1,1,3,6,5,6,5,6,6,4,4,4,5,4,5
27,0,24,0,6,18,8,3,12,5,6,2,7,2,6,5,6,7,5,6,5
123,1,24,0,1,23,1,1,1,6,4,5,3,4,5,3,5,6,4,2,4
132,1,24,0,1,21,1,1,1,7,4,5,5,4,4,4,4,5,4,5,5
269,1,24,0,5,16,20,1,4,1,5,5,6,4,4,5,3,4,5,4,5
277,1,24,0,2,17,2,1,1,3,3,4,3,2,4,3,2,4,3,3,4
363,0,24,0,2,23,10,5,1,5,3,2,5,3,5,1,5,2,6,3,5
50,0,23,0,3,17,2,1,14,5,5,5,3,5,5,5,5,4,4,5,5
57,0,22,1,9,14,4,0,0,2,5,5,6,2,2,6,5,5,2,6,3
174,1,21,0,12,14,5,2,3, , , , , , , , , , , , 
388,0,21,0,1,21,1,1,4,1,6,4,7,5,7,5,7,7,6,7,1
218,1,19,1,0, ,0,0,0, , , , , , , , , , , , 
