ID,Participant_Sex,MEQ1,MEQ2,MEQ3,MEQ4,MEQ5,MEQ6,MEQ7,MEQ8,MEQ9,MEQ10,MEQ11,MEQ12,MEQ13,MEQ14,MEQ15,MEQ16,MEQ17,MEQ18,MEQ19,MEQ20,MEQ21
52,2,1,6,1,1,4,7,1,6,6,7,4,7,3,3,1,5,1,1,5,3,1
53,2,1,7,1,4,3,7,1,7,4,7,2,7,1,6,2,5,2,5,1,1,1
54,2,3,6,1,1,3,6,1,5,1,6,1,6,2,1,3,1,4,1,1,1,1
55,2,5,7,3,1,2,7,2,6,2,4,3,2,1,2,1,3,1,1,1,2,1
56,2,5,4,1,1,2,5,1,4,3,4,1,5,1,6,2,5,3,5,5,1,1
57,1,5,5,3,5,6,6,2,5,2,4,2,4,3,5,2,5,5,3,1,1,1
58,1,2,5,1,2,5,6,1,5,2,6,2,6,2,2,2,5,6,2,3,2,2
59,1,5,6,3,6,4,6,3,6,4,4,4,4,4,4,2,5,3,4,3,2,3
60,2,1,7,1,1,1,7,1,1,1,7,1,7,1,7,1,5,7,1,1,1,1
61,2,5,5,1,4,4,6,1,4,5,4,5,4,4,5,4,3,1,1,1,1,1
62,1,2,5,2,4,5,6,2,6,2,5,4,5,3,5,3,4,4,5,2,2,3
63,1,5,6,5,5,5,6,2,5,5,7,2,6,1,5,2,5,2,5,6,6,2
64,1,2,6,4,5,5,6,2,6,2,5,2,5,3,5,4,5,5,3,2,3,3
65,1,4,4,5,4,4,4,5,3,5,5,4,4,4,4,4,5,3,3,4,5,5
66,2,1,6,1,1,5,7,1,7,1,5,1,7,3,2,3,3,4,1,2,1,2
67,1,5,5,5,4,6,6,6,6,6,6,6,6,3,6,3,6,2,6, ,5,6
68,1,3,5,5,6,5,6,5,5,5,5,6,5,3,5,3,6,3,5,6,5,5
69,1,2,2,2,5,2,6,3,6,5,3,5,4,2,6,1,3,1,3,2,2,1
70,2,3,4,3,1,2,7,5,4,6,7,7,2,4,5,3,5,5,2,3,7,5
