Participant_ID,SEX,MMS1,MMS2,MMS3,MMS4,MMS5,MMS6,MMS7,MMS8,MMS9,MMS10,MMS11,MMS12,MMS13,MMS14,MiniK1,MiniK2,MiniK3,MiniK4,MiniK5,MiniK6,MiniK7,MiniK8,MiniK9,MiniK10,MiniK11,MiniK12,MiniK13,MiniK14,MiniK15,MiniK16,MiniK17,MiniK18,MiniK19,MiniK20
204,1,1,1,2,6,1,7,1,1,1,6,5,1,5,6,5,4,7,7,5,7,7,7,4,7,7,7,7,7,7,7,7,7,4,7
205,1,2,5,2,5,1,6,1,2,1,5,6,1,4,4,5,5,5,5,5,6,4,5,4,7,7,5,3,5,6,3,5,6,2,1
206,1,1,1,1,6,1,5,1,3,4,6,5,2,3,2,3,6,6,7,7,7,7,1,7,6,7,6,7,7,7,5,5,5,3,5
207,1,2,1,6,1,5,7,2,5,7,2,5,2,3,1,6,6,2,7,7,3,5,7,4,4,3,1,1,5,5,2,5,5,1,1
208,1,1,2,2,4,1,6,1,2,4,4,5,1,6,6,6,6,6,6,7,6,2,6,6,7,6,2,5,5,6,5,5,5,4,2
209,1,1,7,3,6,4,6,5,1,1,7,6,1,6,7,7,6,6,6,4,5,1,1,6,7,7,7,1,1,5,2,2,2,2,2
210,1,1,7,1,3,1,7,1,1,1,1,6,1,6,2,3,6,5,6,7,7,1,3,5,7,7,7,2,1,1,5,6,6,6,1
211,1,1,3,4,5,1,4,1,1,1,5,5,1,5,5,5,6,6,6,6,6,6,6,6,6,7,7,7,7,7,6,6,6,5,5
212,1,1,7,3,3,1,5,1,3,1,2,6,1,6,2,4,5,4,4,5,6,6,6,7,6,1,5,7,7,6,5,5,5,3,1
213,1,1,7,7,1,1,5,1,1,1,2,4,1,4,1,3,6,2,3,7,6,5,7,4,5,7,3,5,5,6,5,7,6,2,1
214,1,1,6,1,7,5,6,1,3,1,7,6,1,6,7,5,5,6,6,6,3,2,1,5,6,7,5,6,6,6,6,6,6,4,7
216,1,2,2,2,6,2,6,2,6,2,6,6,2,6,2,6,6,6,2,6,6,6,2,4,7,7,1,6,6,6,1,1,1,1,4
218,1, , , , , , , , , , , , , , ,4,1,1,1,1,6,5,1,4,4,1,1,1,1,1,1,1,1,1,3
219,1,2,2,3,5,1,5,1,2,6,5,6,5,6,5,6,6,7,7,7,6,6,1,7,4,7,5,3,5,6,2,2,2,1,2
220,1,7,4,1,4,1,6,1,1,1,4,7,1,4,4,7,7,7,7,7,7,5,7,7,7,7,7,7,4,7,7,7,7,7,7
221,1,3,6,3,3,2,6,3,2,3,5,2,3,6,2,5,6,4,6,5,4,7,7,7,7,7,6,7,4,3,6,5,6,3,2
222,1,2,7,3,6,2,6,2,2,2,6,7,2,7,6,6,7,6,7,7,5,2,1,4,7,7,5,3,2,2,6,6,5,2,2
223,1,6,3,3,6,6,5,4,4,6,6,5,4,4,5,5,6,6,5,4,4,3,3,5,5,5,5,5,4,5,6,6,5,5,4
225,1,1,7,7,1,1,1,1,1,1,1,1,1,1,1,3,3,5,4,4,4,1,1,4,7,5,4,3,1,1,1,1,2,2,2
226,1,1,4,3,6,1,4,1,6,1,6,7,1,6,6,5,5,5,3,5,5,2,5,7,6,7,3,3,3,4,5,3,3,5,4
227,1,3,2,3,1,4,6,5,5,4,1,7,4,7,5,5,5,3,4,7,6,1,1,7,6,6,5,2,1,1,7,7,7,7,2
228,1,2,5,6,1,5,7,4,1,3,2,3,6,4,5,6,7,6,7,7,5,6,7,5,6,7,7,6,6,6,5,6,5,6,6
