ParticipantID,ParticipantSex,ParticipantAge,PartnerNumber,HadSex,AgeSex,ParticipantLifetimeSexPartners,PastYearSexPartners,PastMonthSex,MMS1,MMS2,MMS3,MMS4,MMS5,MMS6,MMS7,MMS8,MMS9,MMS10,MMS11,MMS12,MMS13,MMS14,SOIR1,SOIR2,SOIR3,SOIR4,SOIR5,SOIR6,SOIR7,SOIR8,SOIR9,MiniK1,MiniK2,MiniK3,MiniK4,MiniK5,MiniK6,MiniK7,MiniK8,MiniK9,MiniK10,MiniK11,MiniK12,MiniK13,MiniK14,MiniK15,MiniK16,MiniK17,MiniK18,MiniK19,MiniK20
135,2,43,4,1,15,4,1,8,3,1,1,1,1,6,2,1,4,1,6,3,6,1,2,4,1,1,1,1,6,5,1,5,6,6,6,5,3,4,4,7,2,7,7,6,6,6,5,6,6,2,6
136,2,28,1,1,16,1,1,3,1,7,6,5,1,4,1,1,1,4,5,1,6,4,2,1,1,5,1,1,2,1,1,6,6,7,6,7,2,7,6,7,7,7,7,5,5,4,6,5,6,3,3
137,2,39,11,1,14,5,1,8,2,2,5,5,3,6,5,6,2,5,3,5,3,5,2,2,5,2,5,7,6,4,6,5,5,7,6,6,4,7,3,7,4,6,6,6,6,6,6,6,6,5,6
138,2,27,10,1,17,10,1,10,2,5,7,5,1,7,1,1,1,7,7,1,7,5,2,4,2,7,2,4,1,1,1,6,6,6,7,6,7,7,5,7,7,1,5,7,7,7,5,4,4,3,1
139,2,50,2,1,19,2,1,4,1,5,7,1,1,3,1,1,1,1,7,1,7,7,2,1,1,1,1,1,1,1,1,7,7,3,7,7,7,1,1,1,1,7,7,3,1,6,4,2,6,1,2
140,2,44,3,1,16,3,1,0,1,1,5,1,1,6,1,1,1,1,7,1,6,1,1,1,1,1,1,9,1,1,1,5,6,6,6,2,7,7,7,1,6,1,7,5,5,5,7,7,7,5,1
141,2,27,100,1,21,1,1,10,2,2,3,3,4,4,4,4,3,4,3,4,3,4,2,2,2,9,1,9,3,4,3,7,6,6,1,7,1,6,6,6,7,7,6,7,6,6,6,6,6,5,7
142,2,52,10,1,14,68,1,6,7,6,5,7,6,7,4,7,6,7,6,3,7,7,2,9,9,9,7,9,6,4,4,2,5,6,5,3,3,5,6,7,5,7,5,2,2,2,3,5,5,2,2
143,2,27,2,1,22,2,1,9,4,5,5,5,5,5,5,4,4,4,4,4,4,4,2,2,2,1,1,9,2,2,2,5,5,5,5,5,2,7,7,4,7,7,7,5,5,5,5,5,5,5,5
144,2,32,5,1,17,5,1,30,1,7,7,7,1,7,1,1,7,7,7,7,7,7,2,3,4,3,1,1,1,1,1,5,7,7,7,7,1,1,7,4,7,7,7,7,7,7,7,7,7,5,6
146,2,57,7,1,18,6,1,0,1,1,4,7,1,5,1,1,1,7,7,1,7,6,2,1,1,5,1,4,1,1,1,5,5,7,7,7,7,7,3,7,7,7,5,7,7,7,5,5,5,6,5
147,2,42,8,1,14,20,4,4,3,7,5,5,1,7,1,2,2,4,6,2,6,2,5,2,4,9,9,9,4,5,2,5,6,6,5,5,4,4,5,6,6,5,3,6,6,6,7,6,6,5,4
148,2,63,5,1,20,1,1,2,1,4,6,1,1,5,1,1,1,1,4,1,5,5,2,1,1,2,1,1,2,1,1,5,6,5,6,7,5,7,7,7,7,7,7,7,7,7,7,6,6,6,6
149,2,38,5,1,14,20,1,4,2,6,4,5,1,5,1,1,1,7,4,1,3,6,2,8,7,6,2,3,5,1,2,3,6,2,2,5,6,2,5,7,7,7,6,5,2,7,3,3,2,1,1
150,2,33,3,1,19,5,1,0,5,5,7,2,2,3,2,1,5,2,6,2,6,1,2,1,2,6,1,4,2,1,1,5,6,1,5,4,3,1,6,4,5,7,6,7,6,7,2,2,3,2,2
151,2,33,15,1,16,15,1,1,1,4,7,7,4,7,1,1,1,7,7,1,7,7,2,6,7,7,7,8,5,1,3,4,7,7,7,7,7,7,4,6,7,7,3,7,7,7,4,4,4,1,5
152,2,36,2,1,18,2,1,1,2,2,5,5,5,6,6,2,2,6,6,6,6,6,2,2,1,1,1,2,1,1,1,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7
153,2,36,3,1,22,1,1,5,1,4,4,5,1,5,1,1,1,5,4,1,4,4,2,1,1,1,1,1,2,2,2,3,5,5,5,5,6,5,6,7,7,7,7,6,5,5,5,5,4,4,6
154,2,29,1,1,19,1,1,20,7,6,6,1,6,6,6,7,7,6,7,7,7,7,2,2,2,9,8,1,9,2,9,7,6,6,2,2,7,7,7,2,7,7,7,7,6,6,7,7,6,6,7
